Time;X-Acceleration;Y-Acceleration;Z-Acceleration;;X-Velocity;Y-Velocity;Z-Velocity;;X-distance;Y-distance;Z-distance;;Time;RAW X;RAW Y;RAW Z;;;;;
0,201;0,00000;0,00981;-0,28449;;-0,00223;0,00382;-0,05724;;-0,00022;0,00036;-0,00568;;1201;0;1;-29;;;;;
0,209;-0,01962;0,00000;-0,27468;;-0,00231;0,00386;-0,05947;;-0,00024;0,00039;-0,00615;;1209;-2;0;-28;;;;;
0,210;-0,01962;0,00000;-0,27468;;-0,00233;0,00386;-0,05975;;-0,00024;0,00040;-0,00621;;1210;-2;0;-28;;;;;
0,218;0,00000;0,01962;-0,28449;;-0,00241;0,00394;-0,06198;;-0,00026;0,00043;-0,00669;;1218;0;2;-29;;;;;
0,222;0,00000;0,01962;-0,28449;;-0,00241;0,00402;-0,06312;;-0,00027;0,00045;-0,00694;;1222;0;2;-29;;;;;
0,230;-0,00981;0,01962;-0,29430;;-0,00245;0,00417;-0,06544;;-0,00029;0,00048;-0,00746;;1230;-1;2;-30;;;;;
0,230;-0,00981;0,01962;-0,29430;;-0,00245;0,00417;-0,06544;;-0,00029;0,00048;-0,00746;;1230;-1;2;-30;;;;;
0,238;-0,01962;0,00000;-0,30411;;-0,00257;0,00425;-0,06783;;-0,00031;0,00051;-0,00799;;1238;-2;0;-31;;;;;
0,242;-0,01962;0,00000;-0,30411;;-0,00264;0,00425;-0,06905;;-0,00032;0,00053;-0,00826;;1242;-2;0;-31;;;;;
0,251;-0,00981;0,00981;-0,30411;;-0,00278;0,00430;-0,07178;;-0,00034;0,00057;-0,00890;;1251;-1;1;-31;;;;;
0,251;-0,00981;0,00981;-0,30411;;-0,00278;0,00430;-0,07178;;-0,00034;0,00057;-0,00890;;1251;-1;1;-31;;;;;
0,259;-0,02943;0,03924;-0,26487;;-0,00293;0,00449;-0,07406;;-0,00036;0,00060;-0,00948;;1259;-3;4;-27;;;;;
0,259;-0,02943;0,03924;-0,26487;;-0,00293;0,00449;-0,07406;;-0,00036;0,00060;-0,00948;;1259;-3;4;-27;;;;;
0,271;-0,00981;0,03924;-0,26487;;-0,00317;0,00496;-0,07724;;-0,00040;0,00066;-0,01039;;1271;-1;4;-27;;;;;
0,271;-0,00981;0,03924;-0,26487;;-0,00317;0,00496;-0,07724;;-0,00040;0,00066;-0,01039;;1271;-1;4;-27;;;;;
0,279;-0,00981;0,00000;-0,29430;;-0,00325;0,00512;-0,07948;;-0,00043;0,00070;-0,01102;;1279;-1;0;-30;;;;;
0,279;-0,00981;0,00000;-0,29430;;-0,00325;0,00512;-0,07948;;-0,00043;0,00070;-0,01102;;1279;-1;0;-30;;;;;
0,291;-0,00981;0,00981;-0,30411;;-0,00336;0,00518;-0,08307;;-0,00047;0,00076;-0,01199;;1291;-1;1;-31;;;;;
0,291;-0,00981;0,00981;-0,30411;;-0,00336;0,00518;-0,08307;;-0,00047;0,00076;-0,01199;;1291;-1;1;-31;;;;;
0,300;-0,01962;0,01962;-0,30411;;-0,00350;0,00531;-0,08580;;-0,00050;0,00081;-0,01275;;1300;-2;2;-31;;;;;
0,300;-0,01962;0,01962;-0,30411;;-0,00350;0,00531;-0,08580;;-0,00050;0,00081;-0,01275;;1300;-2;2;-31;;;;;
0,308;-0,00981;0,02943;-0,29430;;-0,00361;0,00551;-0,08820;;-0,00053;0,00085;-0,01345;;1308;-1;3;-30;;;;;
0,312;-0,00981;0,02943;-0,29430;;-0,00365;0,00563;-0,08937;;-0,00054;0,00087;-0,01380;;1312;-1;3;-30;;;;;
0,320;0,00000;0,01962;-0,26487;;-0,00369;0,00582;-0,09161;;-0,00057;0,00092;-0,01453;;1320;0;2;-27;;;;;
0,320;0,00000;0,01962;-0,26487;;-0,00369;0,00582;-0,09161;;-0,00057;0,00092;-0,01453;;1320;0;2;-27;;;;;
0,328;-0,01962;0,00000;-0,28449;;-0,00377;0,00590;-0,09381;;-0,00060;0,00097;-0,01527;;1328;-2;0;-29;;;;;
0,332;-0,01962;0,00000;-0,28449;;-0,00385;0,00590;-0,09495;;-0,00061;0,00099;-0,01565;;1332;-2;0;-29;;;;;
0,341;-0,00981;0,02943;-0,26487;;-0,00398;0,00603;-0,09742;;-0,00065;0,00104;-0,01651;;1341;-1;3;-27;;;;;
0,341;-0,00981;0,02943;-0,26487;;-0,00398;0,00603;-0,09742;;-0,00065;0,00104;-0,01651;;1341;-1;3;-27;;;;;
0,349;-0,01962;0,02943;-0,28449;;-0,00410;0,00627;-0,09962;;-0,00068;0,00109;-0,01730;;1349;-2;3;-29;;;;;
0,353;-0,01962;0,02943;-0,28449;;-0,00418;0,00639;-0,10075;;-0,00070;0,00112;-0,01770;;1353;-2;3;-29;;;;;
0,361;-0,00981;0,00000;-0,29430;;-0,00430;0,00650;-0,10307;;-0,00073;0,00117;-0,01852;;1361;-1;0;-30;;;;;
0,361;-0,00981;0,00000;-0,29430;;-0,00430;0,00650;-0,10307;;-0,00073;0,00117;-0,01852;;1361;-1;0;-30;;;;;
0,370;-0,01962;0,01962;-0,27468;;-0,00443;0,00659;-0,10563;;-0,00077;0,00123;-0,01945;;1370;-2;2;-28;;;;;
0,370;-0,01962;0,01962;-0,27468;;-0,00443;0,00659;-0,10563;;-0,00077;0,00123;-0,01945;;1370;-2;2;-28;;;;;
0,382;-0,01962;0,02943;-0,29430;;-0,00466;0,00689;-0,10904;;-0,00083;0,00131;-0,02074;;1382;-2;3;-30;;;;;
0,382;-0,01962;0,02943;-0,29430;;-0,00466;0,00689;-0,10904;;-0,00083;0,00131;-0,02074;;1382;-2;3;-30;;;;;
0,390;-0,01962;0,04905;-0,30411;;-0,00482;0,00720;-0,11144;;-0,00086;0,00137;-0,02162;;1390;-2;5;-31;;;;;
0,390;-0,01962;0,04905;-0,30411;;-0,00482;0,00720;-0,11144;;-0,00086;0,00137;-0,02162;;1390;-2;5;-31;;;;;
0,402;-0,00981;0,01962;-0,26487;;-0,00500;0,00761;-0,11485;;-0,00092;0,00146;-0,02298;;1402;-1;2;-27;;;;;
0,402;-0,00981;0,01962;-0,26487;;-0,00500;0,00761;-0,11485;;-0,00092;0,00146;-0,02298;;1402;-1;2;-27;;;;;
0,410;-0,00981;0,00981;-0,28449;;-0,00508;0,00773;-0,11705;;-0,00096;0,00152;-0,02391;;1410;-1;1;-29;;;;;
0,411;-0,00981;0,00981;-0,28449;;-0,00509;0,00774;-0,11733;;-0,00097;0,00152;-0,02403;;1411;-1;1;-29;;;;;
0,419;0,00000;0,00981;-0,28449;;-0,00513;0,00782;-0,11961;;-0,00101;0,00159;-0,02498;;1419;0;1;-29;;;;;
0,423;0,00000;0,00981;-0,28449;;-0,00513;0,00786;-0,12075;;-0,00103;0,00162;-0,02546;;1423;0;1;-29;;;;;
0,431;-0,01962;0,00000;-0,29430;;-0,00520;0,00790;-0,12306;;-0,00107;0,00168;-0,02643;;1431;-2;0;-30;;;;;
0,431;-0,01962;0,00000;-0,29430;;-0,00520;0,00790;-0,12306;;-0,00107;0,00168;-0,02643;;1431;-2;0;-30;;;;;
0,439;-0,01962;0,00000;-0,29430;;-0,00536;0,00790;-0,12542;;-0,00111;0,00174;-0,02742;;1439;-2;0;-30;;;;;
0,439;-0,01962;0,00000;-0,29430;;-0,00536;0,00790;-0,12542;;-0,00111;0,00174;-0,02742;;1439;-2;0;-30;;;;;
0,451;-0,01962;0,03924;-0,31392;;-0,00560;0,00813;-0,12907;;-0,00118;0,00184;-0,02895;;1451;-2;4;-32;;;;;
0,452;-0,01962;0,03924;-0,31392;;-0,00562;0,00817;-0,12938;;-0,00118;0,00185;-0,02908;;1452;-2;4;-32;;;;;
0,460;-0,01962;0,03924;-0,27468;;-0,00577;0,00849;-0,13173;;-0,00123;0,00192;-0,03013;;1460;-2;4;-28;;;;;
0,460;-0,01962;0,03924;-0,27468;;-0,00577;0,00849;-0,13173;;-0,00123;0,00192;-0,03013;;1460;-2;4;-28;;;;;
0,472;-0,00981;0,01962;-0,28449;;-0,00595;0,00884;-0,13509;;-0,00130;0,00202;-0,03173;;1472;-1;2;-29;;;;;
0,472;-0,00981;0,01962;-0,28449;;-0,00595;0,00884;-0,13509;;-0,00130;0,00202;-0,03173;;1472;-1;2;-29;;;;;
0,480;-0,00981;0,00000;-0,28449;;-0,00603;0,00892;-0,13736;;-0,00135;0,00209;-0,03282;;1480;-1;0;-29;;;;;
0,480;-0,00981;0,00000;-0,28449;;-0,00603;0,00892;-0,13736;;-0,00135;0,00209;-0,03282;;1480;-1;0;-29;;;;;
0,488;-0,01962;0,01962;-0,27468;;-0,00615;0,00900;-0,13960;;-0,00140;0,00216;-0,03392;;1488;-2;2;-28;;;;;
0,492;-0,01962;0,01962;-0,27468;;-0,00622;0,00907;-0,14070;;-0,00142;0,00220;-0,03448;;1492;-2;2;-28;;;;;
0,501;0,00981;0,02943;-0,26487;;-0,00627;0,00929;-0,14313;;-0,00148;0,00228;-0,03576;;1501;1;3;-27;;;;;
0,501;0,00981;0,02943;-0,26487;;-0,00627;0,00929;-0,14313;;-0,00148;0,00228;-0,03576;;1501;1;3;-27;;;;;
0,509;-0,01962;0,00981;-0,27468;;-0,00631;0,00945;-0,14529;;-0,00153;0,00236;-0,03692;;1509;-2;1;-28;;;;;
0,513;-0,01962;0,00981;-0,27468;;-0,00639;0,00949;-0,14638;;-0,00155;0,00239;-0,03750;;1513;-2;1;-28;;;;;
0,521;-0,01962;0,00981;-0,26487;;-0,00654;0,00957;-0,14854;;-0,00161;0,00247;-0,03868;;1521;-2;1;-27;;;;;
0,521;-0,01962;0,00981;-0,26487;;-0,00654;0,00957;-0,14854;;-0,00161;0,00247;-0,03868;;1521;-2;1;-27;;;;;
0,529;0,00000;0,00981;-0,30411;;-0,00662;0,00965;-0,15082;;-0,00166;0,00255;-0,03988;;1529;0;1;-31;;;;;
0,529;0,00000;0,00981;-0,30411;;-0,00662;0,00965;-0,15082;;-0,00166;0,00255;-0,03988;;1529;0;1;-31;;;;;
0,542;-0,03924;0,02943;-0,28449;;-0,00688;0,00990;-0,15464;;-0,00175;0,00267;-0,04186;;1542;-4;3;-29;;;;;
0,542;-0,03924;0,02943;-0,28449;;-0,00688;0,00990;-0,15464;;-0,00175;0,00267;-0,04186;;1542;-4;3;-29;;;;;
0,550;0,00000;0,02943;-0,26487;;-0,00703;0,01014;-0,15684;;-0,00180;0,00275;-0,04311;;1550;0;3;-27;;;;;
0,550;0,00000;0,02943;-0,26487;;-0,00703;0,01014;-0,15684;;-0,00180;0,00275;-0,04311;;1550;0;3;-27;;;;;
0,562;-0,00981;0,01962;-0,28449;;-0,00709;0,01043;-0,16014;;-0,00189;0,00288;-0,04501;;1562;-1;2;-29;;;;;
0,562;-0,00981;0,01962;-0,28449;;-0,00709;0,01043;-0,16014;;-0,00189;0,00288;-0,04501;;1562;-1;2;-29;;;;;
0,570;-0,01962;0,02943;-0,30411;;-0,00721;0,01063;-0,16249;;-0,00194;0,00296;-0,04630;;1570;-2;3;-31;;;;;
0,570;-0,01962;0,02943;-0,30411;;-0,00721;0,01063;-0,16249;;-0,00194;0,00296;-0,04630;;1570;-2;3;-31;;;;;
0,582;-0,00981;0,02943;-0,30411;;-0,00739;0,01098;-0,16614;;-0,00203;0,00309;-0,04827;;1582;-1;3;-31;;;;;
0,583;-0,00981;0,02943;-0,30411;;-0,00740;0,01101;-0,16645;;-0,00204;0,00310;-0,04844;;1583;-1;3;-31;;;;;
0,591;-0,01962;0,02943;-0,27468;;-0,00751;0,01125;-0,16876;;-0,00210;0,00319;-0,04978;;1591;-2;3;-28;;;;;
0,591;-0,01962;0,02943;-0,27468;;-0,00751;0,01125;-0,16876;;-0,00210;0,00319;-0,04978;;1591;-2;3;-28;;;;;
0,599;0,00000;0,00981;-0,27468;;-0,00759;0,01140;-0,17096;;-0,00216;0,00328;-0,05114;;1599;0;1;-28;;;;;
0,603;0,00000;0,00981;-0,27468;;-0,00759;0,01144;-0,17206;;-0,00219;0,00333;-0,05182;;1603;0;1;-28;;;;;
0,611;0,00000;0,01962;-0,29430;;-0,00759;0,01156;-0,17433;;-0,00225;0,00342;-0,05321;;1611;0;2;-30;;;;;
0,611;0,00000;0,01962;-0,29430;;-0,00759;0,01156;-0,17433;;-0,00225;0,00342;-0,05321;;1611;0;2;-30;;;;;
0,619;-0,01962;0,01962;-0,26487;;-0,00767;0,01172;-0,17657;;-0,00231;0,00351;-0,05461;;1619;-2;2;-27;;;;;
